Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,-,-,"Messrs. Prince Book Store,",-,Chandigarh,-,-,1,C/94,31-03-2014,Accession Registers - 5000 lines each. Leather Bound. ..,Five,ea.,750,3750,,,,,,,,
,-,-,"Messrs. Prince Book Store,",-,Chandigarh,-,-,1,C/94,31-03-2014,Daily Issue Register - 200 Leaves each. Leather Bound.,Two,ea.,750,1500,,,,,,,,
,-,-,"Messrs. Prince Book Store,",-,Chandigarh,-,-,1,C/94,31-03-2014,Stock Verification Registers - 200 Leaves each. Leather Bound. ..,Three,ea.,750,2250,,,,,,,,
,-,-,"Messrs. Prince Book Store,",-,Chandigarh,-,-,1,C/94,31-03-2014,Loan Register - 200 leaves. Leather Bound. ,One,ea.,750,750,,,,,,,,
,-,-,"Messrs. Prince Book Store,",-,Chandigarh,-,-,1,C/94,31-03-2014,"Catalogue Cards- Size 5""*3"". Ruled & Punched white. Indian Card Stock : Heavy wt. ..",2000,th.,580,1160,470.5,200,10080.5,"thru Bharat Motor Transport Co.,",9759,31-03-2014,-,-
,-,-,"Shri Rameshs Chander,",-,Patiala,-,-,1,C/95,31-03-2014,Accession Registers - 5000 lines each. Leather Bound. ..,10 Nos.,ea.,750,7500,,,,,,,,
,-,-,"Shri Rameshs Chander,",-,Patiala,-,-,1,C/95,31-03-2014,Daily Issue Register - 200 Leaves each. Leather Bd.,3 Nos.,ea.,750,2250,,,,,,,,
,-,-,"Shri Rameshs Chander,",-,Patiala,-,-,1,C/95,31-03-2014,Book Tags- Self Adhesive. Oval Shape.,10000,th.,140,1400,557.5,,11707.5,Per Bharat Moto Transport Co.,9760,31-03-2014,-,-
,-,-,The Librarian,"Bhai Maha Singh College of Engineering,",-,(Pb.),152026,1,C/96,31-03-2014,Accession Registers - 5000 lines each. Leather Bound. ..,Two,ea.,750,1500,,,,,,,,
,-,-,The Librarian,"Bhai Maha Singh College of Engineering,",-,(Pb.),152026,1,C/96,31-03-2014,Periodical Record Register - 200 leaves. Leather Bound.,One,ea.,750,750,112.5,249.5,2612,-,-,-,-,-
,-,-,The Principal,Banyan Tree School,-,New Delhi,110003,1,B/1,4/4/2013,"Plastic Reader's Tickets- Size 2""*3"" Printed as per your sample. Navy Blue Colour. With Printed slips.",2000,Each,4.5,9000,1125,,10125,-,-,-,-,-
,-,-,The Principal,Banyan Tree School,-,New Delhi,110003,1,B/2,4/4/2013,Book Pockets-Small. Printed self Adhesive.,3000,Th.,825,2475,,,,,,,,
